Area Name,Employment,Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alabama(0100000),        5420,         2.6,       61.04,      126960,         1.2,       37.54,       57.52,       63.41,       67.27,       74.91,       78090,      119640,      131880,      139930,      155810,       2.640,        1.21
Alaska(0200000),         520,         3.4,       72.89,      151600,         1.4,       39.83,       66.20,       73.43,       83.37,       88.36,       82840,      137690,      152730,      173410,      183780,       1.667,        0.76
Arizona(0400000),        7530,         6.2,       64.33,      133800,         1.3,       39.50,       60.39,       65.85,       73.97,       79.48,       82160,      125600,      136960,      153860,      165330,       2.407,        1.10
Arkansas(0500000),        2770,         2.8,       61.83,      128600,         0.9,       46.95,       59.09,       63.23,       69.33,       76.71,       97660,      122900,      131510,      144200,      159550,       2.178,        1.00
California(0600000),       35980,         3.0,       75.62,      157280,         0.9,       46.11,       66.08,       77.38,       89.44,       98.20,       95910,      137450,      160950,      186040,      204250,       2.005,        0.92
Colorado(0800000),        5100,         3.3,       68.11,      141670,         0.8,       50.38,       63.13,       69.35,       77.65,       84.18,      104790,      131320,      144240,      161520,      175090,       1.801,        0.82
Connecticut(0900000),        3100,         5.7,       64.18,      133490,         1.1,       49.58,       61.44,       65.51,       73.64,       77.61,      103130,      127790,      136250,      153160,      161430,       1.870,        0.86
Delaware(1000000),         880,         9.6,       66.07,      137430,         3.5,       48.09,       59.61,       65.50,       77.22,       80.79,      100030,      123990,      136240,      160620,      168040,       1.883,        0.86
District of Columbia(1100000),         720,         9.5,       66.40,      138110,         2.8,       32.45,       62.07,       67.46,       77.75,       83.31,       67500,      129100,      140320,      161710,      173280,       1.033,        0.47
Florida(1200000),       21360,         3.6,       61.63,      128190,         1.2,       30.19,       59.60,       64.66,       71.89,       76.36,       62800,      123960,      134500,      149530,      158830,       2.232,        1.02
Georgia(1300000),       10690,         4.2,       61.64,      128220,         0.8,       41.94,       55.79,       63.19,       71.47,       80.35,       87230,      116040,      131440,      148650,      167140,       2.247,        1.03
Guam(6600000),          80,         5.0,       54.33,      113010,         1.0,       39.30,       46.15,       55.74,       64.55,       67.72,       81740,       96000,      115950,      134270,      140860,       1.229,        0.56
Hawaii(1500000),        1220,         7.5,       66.53,      138390,         1.2,       50.70,       61.18,       66.09,       76.51,       79.68,      105460,      127250,      137470,      159140,      165740,       1.976,        0.90
Idaho(1600000),        1580,         6.3,       62.09,      129140,         0.8,       31.32,       61.14,       64.22,       71.75,       77.58,       65140,      127170,      133580,      149240,      161360,       1.925,        0.88
Illinois(1700000),       12090,         4.0,       63.97,      133050,         1.0,       47.26,       60.77,       64.96,       74.80,       77.97,       98290,      126390,      135120,      155570,      162180,       2.011,        0.92
Indiana(1800000),        6530,         2.8,       62.79,      130600,         1.3,       40.83,       59.12,       64.87,       73.11,       78.34,       84920,      122970,      134930,      152070,      162940,       2.070,        0.95
Iowa(1900000),        3120,         4.9,       61.43,      127780,         1.1,       51.32,       58.82,       62.93,       68.34,       73.58,      106750,      122340,      130890,      142150,      153040,       2.019,        0.92
Kansas(2000000),        3670,         3.1,       62.16,      129300,         3.8,       25.63,       59.03,       63.90,       72.54,       78.90,       53320,      122770,      132920,      150880,      164110,       2.598,        1.19
Kentucky(2100000),        5480,         3.4,       62.99,      131020,         1.0,       47.78,       59.00,       63.41,       71.37,       76.94,       99380,      122720,      131890,      148460,      160040,       2.789,        1.28
Louisiana(2200000),        4600,         3.0,       59.99,      124770,         1.8,       39.82,       57.92,       61.59,       66.97,       73.75,       82830,      120460,      128100,      139290,      153390,       2.485,        1.14
Maine(2300000),        1370,         6.3,       64.20,      133540,         1.2,       47.03,       60.33,       65.11,       75.03,       78.88,       97810,      125490,      135430,      156060,      164070,       2.201,        1.01
Maryland(2400000),        5880,         4.2,       63.72,      132530,         1.4,       39.94,       60.30,       64.14,       73.26,       79.99,       83080,      125430,      133400,      152370,      166380,       2.196,        1.01
Massachusetts(2500000),        7530,         6.0,       61.82,      128580,         1.2,       34.29,       60.44,       65.00,       71.36,       75.45,       71320,      125720,      135200,      148440,      156940,       2.065,        0.95
Michigan(2600000),       10500,         3.7,       61.95,      128860,         1.4,       38.72,       60.34,       64.74,       70.39,       76.58,       80530,      125510,      134660,      146400,      159290,       2.415,        1.11
Minnesota(2700000),        6250,         3.6,       68.85,      143210,         0.8,       55.01,       64.02,       72.20,       77.64,       81.54,      114420,      133150,      150170,      161480,      169610,       2.170,        0.99
Mississippi(2800000),        3050,         2.2,       60.25,      125330,         1.3,       38.94,       58.62,       62.69,       68.10,       74.47,       81000,      121930,      130390,      141650,      154890,       2.651,        1.21
Missouri(2900000),        7720,         4.3,       63.74,      132570,         1.5,       37.90,       60.35,       64.64,       74.19,       78.19,       78840,      125520,      134450,      154300,      162620,       2.684,        1.23
Montana(3000000),        1210,         4.1,       63.11,      131260,         0.7,       48.25,       61.06,       64.17,       70.71,       74.83,      100360,      127010,      133480,      147070,      155650,       2.412,        1.10
Nebraska(3100000),        2050,         4.1,       62.56,      130120,         1.3,       50.17,       59.71,       63.47,       69.19,       75.04,      104360,      124210,      132020,      143910,      156090,       2.047,        0.94
Nevada(3200000),        2520,         6.4,       63.38,      131820,         1.6,       33.86,       59.97,       64.50,       73.85,       81.89,       70420,      124730,      134170,      153610,      170320,       1.697,        0.78
New Hampshire(3300000),        1300,         2.9,       67.10,      139560,         0.8,       55.21,       63.69,       67.80,       75.71,       79.23,      114830,      132480,      141020,      157480,      164810,       1.931,        0.88
New Jersey(3400000),       10540,         5.4,       62.69,      130390,         1.6,       50.82,       59.93,       63.07,       71.38,       77.22,      105710,      124660,      131190,      148470,      160620,       2.509,        1.15
New Mexico(3500000),        1950,         4.9,       63.18,      131420,         1.8,       38.58,       60.32,       64.85,       73.94,       79.93,       80250,      125460,      134890,      153790,      166240,       2.311,        1.06
New York(3600000),       20310,         4.0,       63.96,      133040,         0.6,       50.00,       59.51,       64.59,       74.01,       77.88,      104000,      123790,      134360,      153950,      162000,       2.163,        0.99
North Carolina(3700000),       10800,         1.9,       64.71,      134600,         0.5,       49.06,       60.80,       65.08,       73.14,       79.74,      102040,      126470,      135370,      152130,      165850,       2.252,        1.03
North Dakota(3800000),         920,         4.4,       61.19,      127260,         1.6,       19.95,       59.64,       64.75,       71.46,       74.63,       41500,      124040,      134670,      148640,      155220,       2.206,        1.01
Ohio(3900000),       14620,         3.0,       60.03,      124850,         0.6,       23.76,       58.40,       63.81,       70.98,       76.81,       49410,      121470,      132710,      147640,      159770,       2.673,        1.22
Oklahoma(4000000),        3780,         3.1,       60.44,      125710,         1.6,       47.71,       58.42,       63.00,       65.87,       72.57,       99230,      121510,      131040,      137000,      150940,       2.272,        1.04
Oregon(4100000),        3710,         2.3,       71.90,      149550,         0.5,       59.00,       64.03,       74.30,       82.74,       89.37,      122720,      133170,      154550,      172100,      185890,       1.910,        0.87
Pennsylvania(4200000),       15230,         3.6,       63.08,      131200,         0.8,       45.54,       61.05,       65.21,       71.74,       76.80,       94720,      126970,      135640,      149230,      159740,       2.561,        1.17
Puerto Rico(7200000),        2390,         5.4,       47.66,       99140,         2.4,       20.13,       32.70,       51.82,       59.55,       64.14,       41870,       68010,      107780,      123860,      133420,       2.578,        1.18
Rhode Island(4400000),        1170,        10.0,       54.38,      113110,         3.4,       18.15,       46.47,       60.76,       67.85,       76.16,       37740,       96660,      126380,      141130,      158400,       2.387,        1.09
South Carolina(4500000),        5420,         3.0,       64.89,      134960,         0.6,       40.86,       60.49,       64.69,       73.55,       78.36,       84990,      125820,      134540,      152990,      162980,       2.438,        1.12
South Dakota(4600000),        1180,         3.9,       64.92,      135030,         0.6,       50.39,       59.75,       65.15,       71.69,       76.32,      104810,      124270,      135500,      149120,      158750,       2.648,        1.21
Tennessee(4700000),        7420,         3.0,       59.05,      122820,         1.5,       24.36,       57.55,       62.74,       68.92,       74.96,       50670,      119690,      130510,      143350,      155920,       2.304,        1.05
Texas(4800000),       24740,         2.6,       64.23,      133600,         1.3,       42.86,       60.48,       64.85,       75.12,       80.87,       89160,      125800,      134880,      156250,      168210,       1.825,        0.84
Utah(4900000),        2820,         3.2,       62.87,      130770,         1.1,       31.06,       61.19,       66.21,       73.30,       77.45,       64610,      127280,      137710,      152470,      161100,       1.678,        0.77
Vermont(5000000),         530,         7.8,       67.31,      140010,         1.8,       54.30,       64.58,       66.69,       75.69,       82.20,      112940,      134330,      138720,      157440,      170980,       1.753,        0.80
Virgin Islands(7800000),          50,        13.7,       57.68,      119970,         3.3,       41.40,       53.16,       59.00,       60.35,       67.80,       86110,      110560,      122720,      125530,      141020,       1.371,        0.63
Virginia(5100000),        7050,         4.0,       66.54,      138390,         0.8,       50.33,       61.74,       66.13,       75.67,       81.50,      104680,      128420,      137550,      157400,      169530,       1.771,        0.81
Washington(5300000),        9450,         4.7,       71.42,      148550,         0.6,       52.27,       65.48,       73.80,       80.88,       84.90,      108710,      136200,      153500,      168240,      176590,       2.703,        1.24
West Virginia(5400000),        2530,         2.9,       58.17,      121000,         0.8,       24.79,       50.00,       62.57,       67.81,       76.21,       51570,      104000,      130150,      141050,      158520,       3.675,        1.68
Wisconsin(5500000),        5250,         2.2,       67.30,      139980,         0.6,       50.36,       62.78,       67.13,       78.09,       81.25,      104760,      130590,      139630,      162430,      169000,       1.820,        0.83
Wyoming(5600000),         540,         4.1,       64.99,      135190,         1.3,       51.71,       61.27,       64.13,       72.07,       78.08,      107560,      127440,      133380,      149900,      162400,       1.982,        0.91
